Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Subcellular location [CC]
Q9WVC7	AKAP6_RAT	reviewed	A-kinase anchor protein 6 (AKAP-6) (Protein kinase A-anchoring protein 6) (PRKA6) (mAKAP)	Akap6	Rattus norvegicus (Rat)	2314		SUBCELLULAR LOCATION: Sarcoplasmic reticulum. Nucleus membrane. Note=In heart muscle. Participation of multiple targeting signals allow correct intracellular targeting. These may be repeated motifs rich in basic and hydrophobic amino acids, palmitoylated/myristoylated motifs or alternatively splice targeting sequences.
Q5M886	ADPRM_RAT	reviewed	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase (EC 3.6.1.13) (EC 3.6.1.16) (EC 3.6.1.53) (ADPRibase-Mn) (CDP-choline phosphohydrolase)	Adprm	Rattus norvegicus (Rat)	337		
D4A4K3	BAKOR_RAT	reviewed	Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)	Atg14 Atg14L	Rattus norvegicus (Rat)	492		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q6ZNE5}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6ZNE5}; Peripheral membrane protein {ECO:0000305}. Preautophagosomal structure membrane {ECO:0000250|UniProtKB:Q6ZNE5}; Peripheral membrane protein {ECO:0000305}. Note=Cytosolic under nutrient-rich conditions (By similarity). Following autophagy stimuli, such as starvation or rapamycin induction, predominantly detected in cytoplasmic foci, identified as isolation membranes and autophagosomes (By similarity). Accumulates on highly curved PtdIns(3)P enriched autophagic membrane via its BATS domain to sense and maintain membrane curvature (By similarity). Localizes also to discrete punctae along the ciliary axoneme and to the base of the ciliary axoneme (By similarity). {ECO:0000250|UniProtKB:Q6ZNE5, ECO:0000250|UniProtKB:Q8CDJ3}.
P51652	AKC1H_RAT	reviewed	Aldo-keto reductase family 1 member C18 (EC 1.1.-.-) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (HSD1)	Akr1c18	Rattus norvegicus (Rat)	323		SUBCELLULAR LOCATION: Cytoplasm.
Q9WTV1	CH3L1_RAT	reviewed	Chitinase-3-like protein 1 (Cartilage glycoprotein 39) (CGP-39) (GP-39)	Chi3l1	Rattus norvegicus (Rat)	381		SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000250}. Cytoplasm {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}.
Q7TP52	CMBL_RAT	reviewed	Carboxymethylenebutenolidase homolog (EC 3.1.-.-) (Liver regeneration-related protein LRRG072)	Cmbl Ab2-225	Rattus norvegicus (Rat)	245		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}.
P61023	CHP1_RAT	reviewed	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22)	Chp1 Chp	Rattus norvegicus (Rat)	195		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20720019}. Cytoplasm {ECO:0000269|PubMed:12204119, ECO:0000269|PubMed:14769882}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10512881, ECO:0000269|PubMed:15312048}. Endomembrane system {ECO:0000269|PubMed:15312048}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000305}. Endoplasmic reticulum {ECO:0000269|PubMed:14657246}. Cell membrane {ECO:0000269|PubMed:21543739}. Membrane {ECO:0000250|UniProtKB:Q99653}; Lipid-anchor {ECO:0000250|UniProtKB:Q99653}. Note=Localizes in cytoplasmic compartments in dividing cells. Localizes in the nucleus in quiescent cells. Exported from the nucleus to the cytoplasm through a nuclear export signal (NES) and CRM1-dependent pathway. May shuttle between nucleus and cytoplasm. Localizes with the microtubule-organizing center (MTOC) and extends toward the periphery along microtubules. Associates with membranes of the early secretory pathway in a GAPDH-independent, N-myristoylation- and calcium-dependent manner. Colocalizes with the mitotic spindle microtubules. Colocalizes with GAPDH along microtubules. Colocalizes with SLC9A1 at the reticulum endoplasmic and plasma membrane. Colocalizes with STK17B at the plasma membrane. {ECO:0000269|PubMed:14657246, ECO:0000269|PubMed:15312048, ECO:0000269|PubMed:20720019, ECO:0000269|PubMed:21543739}.
Q64581	CP3AI_RAT	reviewed	Cytochrome P450 3A18 (EC 1.14.14.1) (CYPIIIA18) (Cytochrome P450(6)beta-2)	Cyp3a18	Rattus norvegicus (Rat)	497		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.
Q64537	CPNS1_RAT	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	Capns1 Capn4 Css1	Rattus norvegicus (Rat)	270		SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Note=Translocates to the plasma membrane upon calcium binding (By similarity). Allows the formation of the homodimer and also appears to mediate the contact between the large catalytic subunit and small regulatory subunit for the formation of the heterodimer. {ECO:0000250}.
Q5PQL2	CNOT9_RAT	reviewed	CCR4-NOT transcription complex subunit 9 (Cell differentiation protein RQCD1 homolog) (Rcd-1)	Cnot9 Rcd1 Rqcd1	Rattus norvegicus (Rat)	299		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9JKY0}. Cytoplasm, P-body {ECO:0000250|UniProtKB:Q9JKY0}. Note=NANOS2 promotes its localization to P-body. {ECO:0000250|UniProtKB:Q9JKY0}.
P08081	CLCA_RAT	reviewed	Clathrin light chain A (Lca)	Clta	Rattus norvegicus (Rat)	248		SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P09496}. Note=Cytoplasmic face of coated pits and vesicles. In complex with TACC3 and CKAP5 (forming the TACC3/ch-TOG/clathrin complex) localized to inter-microtubule bridges in mitotic spindles. {ECO:0000250|UniProtKB:P09496}.
Q4QQT6	BRX1_RAT	reviewed	Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2)	Brix1 Brix Bxdc2	Rattus norvegicus (Rat)	352		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}.
Q5BJT7	CCD93_RAT	reviewed	Coiled-coil domain-containing protein 93	Ccdc93	Rattus norvegicus (Rat)	629		SUBCELLULAR LOCATION: Early endosome {ECO:0000250|UniProtKB:Q567U6}.
Q63053	ARC_RAT	reviewed	Activity-regulated cytoskeleton-associated protein (Activity-regulated gene 3.1 protein) (ARC/ARG3.1) (Arg3.1)	Arc	Rattus norvegicus (Rat)	396		SUBCELLULAR LOCATION: Extracellular vesicle membrane {ECO:0000269|PubMed:29328916}; Lipid-anchor {ECO:0000250|UniProtKB:Q9WV31}. Cell junction, synapse, Postsynapse, postsynaptic cell membrane {ECO:0000250|UniProtKB:Q9WV31}; Lipid-anchor {ECO:0000250|UniProtKB:Q9WV31}. Cell junction, synapse {ECO:0000269|PubMed:17088211, ECO:0000269|PubMed:22579289}. Cell junction, synapse, Postsynapse, postsynaptic density {ECO:0000269|PubMed:17088211}. Early endosome membrane {ECO:0000269|PubMed:17088211}. Cell projection, Neuron projection, dendrite {ECO:0000269|PubMed:7857651, ECO:0000269|PubMed:9808461}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:7857651}. Cytoplasm, cell cortex {ECO:0000269|PubMed:7857651}. Cell projection, Neuron projection, dendritic spine {ECO:0000269|PubMed:17088211}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q9WV31}. Note=Forms virion-like extracellular vesicles that are released from neurons (PubMed:29328916). Enriched in postsynaptic density of dendritic spines (PubMed:17088211). Targeted to inactive synapses following interaction with CAMK2B in the kinase inactive state (PubMed:22579289). Accumulation at weaker synapses may be required to prevent their undesired enhancement (PubMed:22579289). Associated with the cell cortex of neuronal soma and dendrites (PubMed:7857651). Associated with the sperm tail (By similarity). {ECO:0000250|UniProtKB:Q9WV31, ECO:0000269|PubMed:17088211, ECO:0000269|PubMed:22579289, ECO:0000269|PubMed:29328916, ECO:0000269|PubMed:7777577, ECO:0000269|PubMed:7857651}.
Q810D1	CHP2_RAT	reviewed	Calcineurin B homologous protein 2 (Chp-2)	Chp2	Rattus norvegicus (Rat)	196		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12576672}. Nucleus {ECO:0000269|PubMed:12576672}. Cell membrane {ECO:0000269|PubMed:12576672}. Note=Exported from the nucleus to the cytoplasm through a nuclear export signal (NES) pathway. May shuttle between nucleus and cytoplasm (By similarity). Predominantly localized in a juxtanuclear region. Colocalizes with SLC9A3 in the juxtanuclear region and at the plasma membrane. {ECO:0000250}.
P54287	CACB3_RAT	reviewed	Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3)	Cacnb3 Cacnlb3	Rattus norvegicus (Rat)	484		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:10666413}.
O70248	APBA3_RAT	reviewed	Amyloid-beta A4 precursor protein-binding family A member 3 (Adapter protein X11gamma) (Neuron-specific X11L2 protein) (Neuronal Munc18-1-interacting protein 3) (Mint-3)	Apba3 Mint3	Rattus norvegicus (Rat)	569		SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}.
Q9JIK1	CDHR5_RAT	reviewed	Cadherin-related family member 5 (GP100) (Mu-protocadherin)	Cdhr5 Mucdhl Mupcdh	Rattus norvegicus (Rat)	862	TRANSMEM 672 692 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q9HBB8}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9HBB8}. Cell projection, microvillus membrane {ECO:0000250|UniProtKB:Q9HBB8}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9HBB8}.
Q9R0Z7	AAGAB_RAT	reviewed	Alpha- and gamma-adaptin-binding protein p34	Aagab P34	Rattus norvegicus (Rat)	315		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}.
P46933	APBB1_RAT	reviewed	Amyloid-beta A4 precursor protein-binding family B member 1 (Protein Fe65)	Apbb1 Fe65	Rattus norvegicus (Rat)	711		SUBCELLULAR LOCATION: Cell membrane. Cytoplasm. Nucleus. Cell projection, Neuron projection, growth cone. Nucleus speckle {ECO:0000250}. Note=In normal conditions, it mainly localizes to the cytoplasm, while a small fraction is tethered to the cell membrane via its interaction with APP. Following exposure to DNA damaging agents, it is released from cell membrane and translocates to the nucleus. Nuclear translocation is under the regulation of APP. Colocalizes with TSHZ3 in axonal growth cone. Colocalizes with NEK6 at the nuclear speckles (By similarity). Phosphorylation at Ser-611 by SGK1 promotes its localization to the nucleus. {ECO:0000250}.
O70127	ABCBB_RAT	reviewed	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11) (Sister of P-glycoprotein)	Abcb11 Bsep Spgp	Rattus norvegicus (Rat)	1321	TRANSMEM 63 83 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 148 168 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 216 236 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 241 261 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 320 340 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 354 374 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 756 776 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 795 815 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 870 890 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 891 911 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 980 1000 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 1012 1032 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
D4ABH7	BN3D2_RAT	reviewed	RNA 5'-monophosphate methyltransferase (EC 2.1.1.-) (BCDIN3 domain-containing protein)	Bcdin3d	Rattus norvegicus (Rat)	285		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7Z5W3}.
Q63692	CDC37_RAT	reviewed	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	Cdc37	Rattus norvegicus (Rat)	379		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q16543}.
P37200	ARRE_RAT	reviewed	Arrestin-E (Fragment)	Ear	Rattus norvegicus (Rat)	72		
Q91XT5	BCDO1_RAT	reviewed	Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)	Bco1 Bcdo Bcdo1 Bcmo1	Rattus norvegicus (Rat)	566		
O70210	CHAD_RAT	reviewed	Chondroadherin (Cartilage leucine-rich protein)	Chad	Rattus norvegicus (Rat)	358		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.
O88181	BARH2_RAT	reviewed	BarH-like 2 homeobox protein (Bar-class homeodomain protein MBH1) (Homeobox protein B-H1)	Barhl2 Mbh1	Rattus norvegicus (Rat)	384		SUBCELLULAR LOCATION: Nucleus.
Q32PX9	AFG1L_RAT	reviewed	AFG1-like ATPase (EC 3.6.-.-) (Lactation elevated protein 1)	Afg1l Lace1	Rattus norvegicus (Rat)	480		SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250|UniProtKB:Q8WV93}.
Q5M9H0	ANKS3_RAT	reviewed	Ankyrin repeat and SAM domain-containing protein 3	Anks3	Rattus norvegicus (Rat)	663		SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250|UniProtKB:Q9CZK6}. Cytoplasm {ECO:0000250|UniProtKB:Q9CZK6}.
Q9WUQ1	ATS1_RAT	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-)	Adamts1	Rattus norvegicus (Rat)	967		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.
Q6AYE8	ARTN_RAT	reviewed	Artemin	Artn	Rattus norvegicus (Rat)	224		SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
P55926	ASIC1_RAT	reviewed	Acid-sensing ion channel 1 (ASIC1) (Amiloride-sensitive cation channel 2, neuronal) (Brain sodium channel 2) (BNaC2)	Asic1 Accn2 Bnac2	Rattus norvegicus (Rat)	526	TRANSMEM 46 69 Helical. {ECO:0000250}.; TRANSMEM 426 452 Discontinuously helical. {ECO:0000250}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11842212, ECO:0000269|PubMed:9062189, ECO:0000269|PubMed:9707631}; Multi-pass membrane protein {ECO:0000269|PubMed:11842212, ECO:0000269|PubMed:9062189, ECO:0000269|PubMed:9707631}. Note=Localizes in synaptosomes at dendritic synapses of neurons. Colocalizes with DLG4 (By similarity). {ECO:0000250}.
Q5FVC2	ARHG2_RAT	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1)	Arhgef2	Rattus norvegicus (Rat)	985		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Cytoplasm {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Golgi apparatus {ECO:0000250|UniProtKB:Q92974}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q92974}. Note=Localizes to the tips of cortical microtubules of the mitotic spindle during cell division, and is further released upon microtubule depolymerization. Colocalized with NOD2 and RIPK2 in vesicles and with the cytoskeleton. {ECO:0000250|UniProtKB:Q92974}.
P70584	ACDSB_RAT	reviewed	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	Acadsb	Rattus norvegicus (Rat)	432		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:6874697}.
Q75NT5	AHRR_RAT	reviewed	Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR)	Ahrr	Rattus norvegicus (Rat)	701		SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Predominantly in the nuclear compartment. First cytoplasmic, translocates into the nuclear compartment upon interaction with ARNT in the cytoplasmic compartment (By similarity). {ECO:0000250}.
Q7TPB4	CD276_RAT	reviewed	CD276 antigen (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276)	Cd276 B7h3	Rattus norvegicus (Rat)	316	TRANSMEM 249 269 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q3KR97	BI2L1_RAT	reviewed	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 (BAI1-associated protein 2-like protein 1)	Baiap2l1	Rattus norvegicus (Rat)	516		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Note=Recruited to actin pedestals that are formed upon infection by bacteria at bacterial attachment sites. {ECO:0000250}.
Q924N5	ACBG1_RAT	reviewed	Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1) (Gonadotropin-regulated long chain acyl CoA synthetase) (GR-LACS)	Acsbg1 Grlacs	Rattus norvegicus (Rat)	721		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11381125}. Cytoplasmic vesicle {ECO:0000250}. Microsome {ECO:0000250}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q96GR2}. Cell membrane {ECO:0000250|UniProtKB:Q96GR2}.
O08838	AMPH_RAT	reviewed	Amphiphysin	Amph Amph1	Rattus norvegicus (Rat)	683		SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}.
Q66HF0	ARMX6_RAT	reviewed	Protein ARMCX6	Armcx6	Rattus norvegicus (Rat)	301	TRANSMEM 8 25 Helical; Signal-anchor. {ECO:0000255}.	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q8K3A6}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8BHS6}; Single-pass membrane protein {ECO:0000255}.
Q66H85	ANKZ1_RAT	reviewed	Ankyrin repeat and zinc finger domain-containing protein 1	Ankzf1	Rattus norvegicus (Rat)	722		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9H8Y5}. Note=Translocates to the mitochondria upon exposure to hydrogen peroxide. {ECO:0000250|UniProtKB:Q9H8Y5}.
Q811A2	BST2_RAT	reviewed	Bone marrow stromal antigen 2 (BST-2) (Protein DAMP-1) (CD antigen CD317)	Bst2 Damp1	Rattus norvegicus (Rat)	172	TRANSMEM 27 47 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network. Cell membrane; Single-pass type II membrane protein. Cell membrane; Lipid-anchor, GPI-anchor. Late endosome {ECO:0000250}. Membrane raft. Cytoplasm {ECO:0000250}. Apical cell membrane. Note=Shuttles between the cell membrane, where it is present predominantly in membrane/lipid rafts, and the trans-Golgi network. Forms a complex with MMP14 and localizes to the cytoplasm (By similarity). {ECO:0000250}.
P85970	ARPC2_RAT	reviewed	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	Arpc2	Rattus norvegicus (Rat)	300		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19343716}. Cell projection {ECO:0000250|UniProtKB:O15144}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q9CVB6}. Nucleus {ECO:0000250|UniProtKB:O15144}.
Q5RJP0	ALD1_RAT	reviewed	Aldo-keto reductase family 1 member B7 (EC 1.1.1.21) (Aldehyde reductase) (Aldose reductase-like protein AKR1B14) (Aldose reductase-related protein 1)	Akr1b7 Akr1b14	Rattus norvegicus (Rat)	316		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
