Accession,ProteinName,GeneName,,
Q5U1W5,U11/U12 small nuclear ribonucleoprotein 35 kDa protein (U11/U12 snRNP 35 kDa protein) (U1 snRNP-binding protein homolog),Snrnp35,,
D3ZDK2,Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1),Ube2d1,,
P62839,Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2),Ube2d2,,
Q5U300,Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Ubiquitin-activating enzyme E1),Uba1,,
Q07984,Translocon-associated protein subunit delta (TRAP-delta) (Signal sequence receptor subunit delta) (SSR-delta),Ssr4,,
P22789,Alcohol sulfotransferase A (EC 2.8.2.2) (Androsterone-sulfating sulfotransferase) (AD-ST) (Hydroxysteroid sulfotransferase A) (STA) (ST-40) (Senescence marker protein 2A) (Sulfotransferase 2A2) (ST2A2),St2a2,,
Q68FW3,Suppressor of tumorigenicity 7 protein-like,St7l,,
D4AB66,Stonin-2,Ston2,,
G3V9R3,Sulfotransferase 1 family member D1 (ST1D1) (EC 2.8.2.-) (Dopamine sulfotransferase Sult1d1) (Tyrosine-ester sulfotransferase),Sult1d1,,
Q6IYF9,Succinate receptor 1 (G-protein coupled receptor 91),Sucnr1,,
P23739,"Sucrase-isomaltase, intestinal [Cleaved into: Sucrase (EC 3.2.1.48); Isomaltase (EC 3.2.1.10)]",Si,,
Q68FU8,SURP and G-patch domain-containing protein 1 (Splicing factor 4),Sugp1,,
Q07116,"Sulfite oxidase, mitochondrial (EC 1.8.3.1)",Suox,,
Q9Z136,Hamartin (Tuberous sclerosis 1 protein homolog),Tsc1,,
P21463,Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R),Tshr,,
P60531,Testis-specific serine kinase substrate (Testis-specific kinase substrate) (STK22 substrate 1),Tsks,,
Q6QMY6,Tsukushin (Tsukushi) (Early insulin-induced hepatic gene protein) (EIIH) (Leucine-rich repeat-containing protein 54),Tsku,,
Q9R1M3,Testis-specific Y-encoded protein 1 (rTSPY),Tspy1,,
Q5XIB1,Protein TSSC4,Tssc4,,
P70537,Testis-specific protein TSX,Tsx,,
D3ZC96,Tetratricopeptide repeat protein 39B (TPR repeat protein 39B),Ttc39b,,
Q0VGK2,Tetratricopeptide repeat protein 39C (TPR repeat protein 39C),Ttc39c,,
D4A6D7,"Tetratricopeptide repeat protein 19, mitochondrial (TPR repeat protein 19)",Ttc19,,
P47973,mRNA decay activator protein ZFP36 (TPA-induced sequence 11) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36),Zfp36,,
P52845,"Estrogen sulfotransferase, isoform 2 (EST-2) (EC 2.8.2.4) (Estrone sulfotransferase) (Sulfotransferase, estrogen-preferring)",Ste2,,
Q4KLK9,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16),Ssu72,,
Q6AYD2,CST complex subunit STN1 (Oligonucleotide/oligosaccharide-binding fold-containing protein 1) (Suppressor of cdc thirteen homolog),Stn1,,
Q4FZT0,"Stomatin-like protein 2, mitochondrial (SLP-2)",Stoml2,,
P52847,Sulfotransferase family cytosolic 1B member 1 (ST1B1) (Sulfotransferase 1B1) (EC 2.8.2.-) (DOPA/tyrosine sulfotransferase),Sult1b1,,
Q9WUW8,Sulfotransferase 1C2 (ST1C2) (rSULT1C2) (EC 2.8.2.-) (Sulfotransferase K1),Sult1c2,,
Q9JHU6,Stathmin-3 (SCG10-like protein),Stmn3,,
P32851,Syntaxin-1A (Neuron-specific antigen HPC-1) (Synaptotagmin-associated 35 kDa protein) (P35A),Stx1a,,
Q68FW4,Syntaxin-18,Stx18,,
P50343,Tryptase beta-2 (Tryptase-2) (EC 3.4.21.59) (Mast cell protease 6) (rMCP-6),Tpsb2,,
P32822,Trypsin V-B (EC 3.4.21.4),,,
Q9Z0R8,Taste receptor type 1 member 1 (G-protein coupled receptor 70),Tas1r1,,
Q4QRB2,Pre-mRNA-splicing factor SYF2,Syf2,,
Q9QZI7,tRNA selenocysteine 1-associated protein 1 (SECp43) (tRNA selenocysteine-associated protein 1),Trnau1ap,,
P49816,Tuberin (Tuberous sclerosis 2 protein homolog),Tsc2,,
Q9Z220,Testis-specific gene 10 protein (Cp431),Tsga10,,
D3ZKB9,Teashirt homolog 3 (Zinc finger protein 537),Tshz3,,
P04652,Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (TSH-B) (TSH-beta) (Thyrotropin beta chain),Tshb,,
Q569A2,Tetraspanin-12 (Tspan-12) (Transmembrane 4 superfamily member 12),Tspan12,,
Q4V8E0,Tetraspanin-17 (Tspan-17) (F-box only protein 23),Tspan17,,
Q6AYR9,Tetraspanin-1 (Tspan-1),Tspan1,,
Q9JJW1,Tetraspanin-2 (Tspan-2),Tspan2,,
P49744,Thrombospondin-4,Thbs4,,
P16257,Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR),Tspo,,
B5DEL3,Tetratricopeptide repeat protein 17 (TPR repeat protein 17),Ttc17,,
Q6AYQ3,"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)",Fars2,,
Q6AYP3,Tetratricopeptide repeat protein 29 (TPR repeat protein 29),Ttc29,,
Q6P5P3,Tetratricopeptide repeat protein 9C (TPR repeat protein 9C),Ttc9c,,
Q5BJW3,Protein TEX261,Tex261,,
Q498E0,Thioredoxin domain-containing protein 12 (EC 1.8.4.2),Txndc12,,
Q5BJT4,Thioredoxin domain-containing protein 15,Txndc15,,
Q69AB1,Thioredoxin domain-containing protein 8 (Spermatid-specific thioredoxin-3) (Sptrx-3),Txndc8,,
Q5M7W1,Thioredoxin-interacting protein (Vitamin D3 up-regulated protein 1),Txnip,,
P32089,"Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)",Slc25a1,,
P62329,Thymosin beta-4 (T beta 4) [Cleaved into: Hematopoietic system regulatory peptide (Seraspenide)],Tmsb4x,,
Q3T1H5,Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein),Tdp2,,
Q5M844,Nesprin-4 (KASH domain-containing protein 4) (KASH4) (Nuclear envelope spectrin repeat protein 4),Syne4,,
Q62910,"Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)",Synj1,,
D4A702,Synaptopodin-2 (Myopodin),Synpo2,,
Q9Z327,Synaptopodin,Synpo,,
P07825,Synaptophysin (Major synaptic vesicle protein p38),Syp,,
P63047,Sulfotransferase 4A1 (ST4A1) (EC 2.8.2.-) (Brain sulfotransferase-like protein) (rBR-STL) (Nervous system sulfotransferase) (NST),Sult4a1,,
P17988,Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase) (Aryl sulfotransferase IV) (ASTIV) (Minoxidil sulfotransferase) (Mx-ST) (PST-1) (Phenol sulfotransferase) (Sulfokinase) (Tyrosine-ester sulfotransferase),Sult1a1,,
Q9Z2Q7,Syntaxin-8,Stx8,,
Q5XIF4,Small ubiquitin-related modifier 3 (SUMO-3),Sumo3,,
P50235,Alcohol sulfotransferase (EC 2.8.2.2) (Hydroxysteroid sulfotransferase) (ST) (ST-60),,,
Q5XIA3,tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (Leucine carboxyl methyltransferase 2) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase),Lcmt2,,
P0C6P6,Transcription factor YY2 (Yin and yang 2) (YY-2),Yy2,,
Q62885,Protein unc-119 homolog A (Retinal protein 4) (rRG4),Unc119,,
Q7TP17,Splicing factor U2AF 26 kDa subunit (Liver regeneration-related protein LRRG157/LRRG158) (U2 auxiliary factor 26) (U2 small nuclear RNA auxiliary factor 1-like protein 4) (U2AF1-like 4),U2af1l4,,
P40329,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",Rars,,
F1LNJ2,U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD),Snrnp200,,
Q6AXN0,UBA-like domain-containing protein 1,Ubald1,,
P0CG51,Polyubiquitin-B [Cleaved into: Ubiquitin],Ubb,,
Q6P799,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",Sars,,
Q5U203,NEDD8-conjugating enzyme UBE2F (EC 2.3.2.32) (NEDD8 carrier protein UBE2F) (NEDD8 protein ligase UBE2F) (RING-type E3 NEDD8 transferase UBE2F) (Ubiquitin-conjugating enzyme E2 F),Ube2f,,
B5DFI8,Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (Ubiquitin carrier protein S) (Ubiquitin-protein ligase S),Ube2s,,
Q3B7D1,Ubiquitin-conjugating enzyme E2 Z (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Z) (Uba6-specific E2 conjugating enzyme 1) (Use1) (Ubiquitin carrier protein Z) (Ubiquitin-protein ligase Z),Ube2z,,
Q62746,Synaptotagmin-6 (Synaptotagmin VI) (SytVI),Syt6,,
P97610,Synaptotagmin-12 (Synaptotagmin XII) (SytXII) (Synaptotagmin-related gene 1 protein) (Srg1),Syt12,,
P61265,Syntaxin-1B (P35B) (Syntaxin-1B2),Stx1b,,
Q8VI60,Extracellular sulfatase Sulf-1 (EC 3.1.6.-) (RSulfFP1) (Sulfatase FP),Sulf1,,
Q2WEA5,Transient receptor potential cation channel subfamily M member 1 (Melastatin-1),Trpm1,,
E9PTA2,Transient receptor potential cation channel subfamily M member 2,Trpm2,,
Q9ESQ5,Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2),Trpm4,,
Q9WUD2,Transient receptor potential cation channel subfamily V member 2 (TrpV2) (Osm-9-like TRP channel 2) (OTRPC2) (Stretch-activated channel 2B) (Vanilloid receptor-like protein 1) (VRL-1),Trpv2,,
Q9JIP0,Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transporter 2) (CaT2) (Epithelial calcium channel 1) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3),Trpv5,,
Q5XHZ2,Synaptonemal complex central element protein 1,Syce1,,
O35775,Syncollin (Proximal small intestine-specific protein 9),Sycn,,
Q63520,Synaptonemal complex protein 3 (SCP-3),Sycp3,,
Q4KM92,tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I),Pus1,,
Q3KRD0,"Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)",Dars2,,
P00763,Anionic trypsin-2 (EC 3.4.21.4) (Anionic trypsin II) (Pretrypsinogen II) (Serine protease 2),Prss2,,
P12788,Trypsin-4 (EC 3.4.21.4) (Pretrypsinogen IV) (Trypsin IV),Try4,,
P63312,Thymosin beta-10,Tmsb10,,
Q4G056,Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-),Tdp1,,
Q6X9T7,TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12),Tyrobp,,
Q58DZ9,Synapse differentiation-inducing gene protein 1 (SynDIG1) (Dispanin subfamily C member 2) (DSPC2) (Transmembrane protein 90B),Syndig1,,
O55207,"Synaptojanin-2 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2)",Synj2,,
P29101,Synaptotagmin-2 (Synaptotagmin II) (SytII),Syt2,,
P40748,Synaptotagmin-3 (Synaptotagmin III) (SytIII),Syt3,,
Q6P7B0,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS) [Cleaved into: T1-TrpRS; T2-TrpRS]",Wars,,
D3ZHP7,Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3),Ulk3,,
Q9R1B1,Mitochondrial import inner membrane translocase subunit Tim10 B (Fracture callus protein 1) (FxC1) (Mitochondrial import inner membrane translocase subunit Tim9 B) (TIMM10B) (Tim10b),Timm10b,,
Q5M9G6,Smad nuclear interacting protein 1,Snip1,,
Q4JM44,Phosphatidylcholine:ceramide cholinephosphotransferase 2 (EC 2.7.8.27) (Sphingomyelin synthase 2),Sgms2,,
P57769,Sorting nexin-16,Snx16,,
D3ZUC6,Protein TOPAZ1 (Testis- and ovary-specific PAZ domain-containing protein 1),Topaz1,,
Q9EPZ7,Solute carrier organic anion transporter family member 1C1 (BBB-specific anion transporter type 1) (Blood-brain barrier-specific anion transporter 1) (Solute carrier family 21 member 14) (Thyroxine transporter),Slco1c1,,
Q66HL2,Src substrate cortactin,Cttn,,
P30937,Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R),Sstr4,,
Q29YR5,Sulfotransferase family cytosolic 2B member 1 (ST2B1) (Sulfotransferase 2B1) (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2),Sult2b1,,
Q91XS8,Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2),Stk17b,,
P63043,Stathmin-4 (Stathmin-like protein B3) (RB3),Stmn4,,
Q4V8K1,Metalloreductase STEAP4 (EC 1.16.1.9) (Six-transmembrane epithelial antigen of prostate 4),Steap4,,
P13086,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)",Suclg1,,
P50279,Syntaxin-2 (Epimorphin),Stx2,,
Q62753,Syntaxin-binding protein 2 (Protein unc-18 homolog 2) (Munc18-2) (Unc18-2) (Protein unc-18 homolog B) (Unc-18B),Stxbp2,,
Q08851,Syntaxin-5,Stx5,,
Q63635,Syntaxin-6,Stx6,,
Q5I0H3,Small ubiquitin-related modifier 1 (SUMO-1),Sumo1,,
Q02563,Synaptic vesicle glycoprotein 2A (Synaptic vesicle protein 2) (Synaptic vesicle protein 2A),Sv2a,,
Q63564,Synaptic vesicle glycoprotein 2B (Synaptic vesicle protein 2B),Sv2b,,
Q9Z2I6,Synaptic vesicle glycoprotein 2C (Synaptic vesicle protein 2C),Sv2c,,
Q4KLG3,Small vasohibin-binding protein (Coiled coil domain-containing protein 23),Svbp,,
Q9Z2I7,Synaptic vesicle 2-related protein (SV2-related protein),Svop,,
P02783,Seminal vesicle secretory protein 4 (Androgen-dependent protein) (ADP) (Seminal vesicle protein 2) (Seminal vesicle secretory protein IV) (SVS IV) (SVS protein S),Svs4,,
D3ZH22,Sugar transporter SWEET1 (RAG1-activating protein 1) (Solute carrier family 50 member 1),Slc50a1,,
Q63ZV7,DNA repair protein SWI5 homolog (Protein SAE3 homolog),Swi5,,
P61959,Small ubiquitin-related modifier 2 (SUMO-2) (SMT3 homolog 2) (Sentrin-2) (Ubiquitin-like protein SMT3A) (Smt3A),Sumo2,,
Q66H56,TELO2-interacting protein 2,Tti2,,
Q5XI57,Protein polyglycylase TTLL10 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 10),Ttll10,,
Q5PPI9,Probable tubulin polyglutamylase TTLL1 (EC 6.-.-.-) (Tubulin polyglutamylase complex subunit 3) (PGs3) (Tubulin--tyrosine ligase-like protein 1),Ttll1,,
Q9QXJ0,Tubulin--tyrosine ligase (TTL) (EC 6.3.2.25),Ttl,,
O88808,Tubby protein homolog,Tub,,
P0C5H6,Protein turtle homolog A (Dendrite arborization and synapse maturation protein 1) (Immunoglobulin superfamily member 9A) (IgSF9A),Igsf9,,
D3ZB51,Protein turtle homolog B (Immunoglobulin superfamily member 9B),Igsf9b,,
Q5XIM7,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),Kars,,
Q920J4,Thioredoxin-like protein 1 (Thioredoxin-related protein),Txnl1,,
P04177,Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH),Th,,
Q5FVR2,Thymidine phosphorylase (TP) (EC 2.4.2.4) (TdRPase),Tymp,,
Q5Q0T9,Meteorin (Hypoxia/reoxygenation regulatory factor),Metrn,,
Q8R4Z9,Mitofusin-1 (EC 3.6.5.-) (Mitochondrial transmembrane GTPase FZO1B) (Transmembrane GTPase MFN1),Mfn1,,
Q672K1,NADPH oxidase 3 (EC 1.6.3.-),Nox3,,
P24528,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase),Mgmt,,
Q924V1,NADPH oxidase 4 (EC 1.6.3.-) (Kidney oxidase-1) (KOX-1) (Kidney superoxide-producing NADPH oxidase),Nox4,,
Q924R9,Nucleosome assembly protein 1-like 3,Nap1l3,,
Q5BJN5,Mitochondrial intermembrane space import and assembly protein 40 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 4),Chchd4,,
Q6T3U3,NPC1-like intracellular cholesterol transporter 1 (Niemann-Pick C1-like protein 1),Npc1l1,,
Q6AXU7,MIF4G domain-containing protein,Mif4gd,,
Q6P719,Membrane magnesium transporter 2,Mmgt2,,
Q63341,Macrophage metalloelastase (MME) (EC 3.4.24.65) (Matrix metalloproteinase-12) (MMP-12),Mmp12,,
O35548,Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP),Mmp16,,
D3ZJ47,Major intrinsically disordered Notch2-binding receptor 1 (Membrane integral NOTCH2-associated receptor 1) (Ubiquitination and mTOR signaling protein),Minar1,,
O08957,Neuritin,Nrn1,,
Q63372,Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha),Nrxn1,,
Q5I0D6,Nostrin (BM247) (Nitric oxide synthase trafficker) (eNOS-trafficking inducer),Nostrin,,
P70490,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (O-acetyl GD3 ganglioside synthase) (AGS) (SED1),Mfge8,,
P97523,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met),Met,,
Q8R500,Mitofusin-2 (EC 3.6.5.-) (Mitochondrial transmembrane GTPase FZO1A) (Protein HSG) (Transmembrane GTPase MFN2),Mfn2,,
Q09325,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)",Mgat1,,
Q9QW30,Neurogenic locus notch homolog protein 2 (Notch 2) [Cleaved into: Notch 2 extracellular truncation; Notch 2 intracellular domain],Notch2,,
Q80WA4,RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Fragment),Nova1,,
Q8R431,Monoglyceride lipase (MGL) (EC 3.1.1.23) (Monoacylglycerol lipase) (MAGL),Mgll,,
P08494,Matrix Gla protein (MGP),Mgp,,
Q5XIQ4,E3 ubiquitin-protein ligase MGRN1 (EC 2.3.2.27) (Mahogunin RING finger protein 1) (RING-type E3 ubiquitin transferase MGRN1),Mgrn1,,
Q08834,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]",Mgat5,,
Q56UD9,Neuropeptides B/W receptor type 1 (G-protein coupled receptor 7),Npbwr1,,
P07152,Stromelysin-2 (SL-2) (EC 3.4.24.22) (Matrix metalloproteinase-10) (MMP-10) (Transformation-associated protein 34A) (Transin-2),Mmp10,,
Q6AYQ6,"Methylmalonic aciduria and homocystinuria type D homolog, mitochondrial (CblD)",Mmadhc,,
P0C1T0,"Membrane metallo-endopeptidase-like 1 (EC 3.4.24.11) (NEP2(m)) (Neprilysin II) (NEPII) (Neprilysin-2) (NEP2) (NL2) [Cleaved into: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted) (NEP2(s))]",Mmel1,,
Q10739,Matrix metalloproteinase-14 (MMP-14) (EC 3.4.24.80) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT-MMP) (MT1-MMP) (MT1MMP),Mmp14,,
