"noiso"	"SPC"	"geneName"	"Transmembrane"	"CC"	"CD"	"CSPA..e"	"HLA"
"Q9WVC7"	0	"Akap6"	""	"SUBCELLULAR LOCATION: Sarcoplasmic reticulum. Nucleus membrane. Note=In heart muscle. Participation of multiple targeting signals allow correct intracellular targeting. These may be repeated motifs rich in basic and hydrophobic amino acids, palmitoylated/myristoylated motifs or alternatively splice targeting sequences."	NA	NA	NA
"Q5M886"	0	"Adprm"	""	""	NA	NA	NA
"D4A4K3"	0	"Atg14 Atg14L"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q6ZNE5}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6ZNE5}; Peripheral membrane protein {ECO:0000305}. Preautophagosomal structure membrane {ECO:0000250|UniProtKB:Q6ZNE5}; Peripheral membrane protein {ECO:0000305}. Note=Cytosolic under nutrient-rich conditions (By similarity). Following autophagy stimuli, such as starvation or rapamycin induction, predominantly detected in cytoplasmic foci, identified as isolation membranes and autophagosomes (By similarity). Accumulates on highly curved PtdIns(3)P enriched autophagic membrane via its BATS domain to sense and maintain membrane curvature (By similarity). Localizes also to discrete punctae along the ciliary axoneme and to the base of the ciliary axoneme (By similarity). {ECO:0000250|UniProtKB:Q6ZNE5, ECO:0000250|UniProtKB:Q8CDJ3}."	NA	NA	NA
"P51652"	0	"Akr1c18"	""	"SUBCELLULAR LOCATION: Cytoplasm."	NA	NA	NA
"Q9WTV1"	0	"Chi3l1"	""	"SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000250}. Cytoplasm {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}."	NA	NA	NA
"Q7TP52"	0	"Cmbl Ab2-225"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}."	NA	NA	NA
"P61023"	0	"Chp1 Chp"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20720019}. Cytoplasm {ECO:0000269|PubMed:12204119, ECO:0000269|PubMed:14769882}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10512881, ECO:0000269|PubMed:15312048}. Endomembrane system {ECO:0000269|PubMed:15312048}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000305}. Endoplasmic reticulum {ECO:0000269|PubMed:14657246}. Cell membrane {ECO:0000269|PubMed:21543739}. Membrane {ECO:0000250|UniProtKB:Q99653}; Lipid-anchor {ECO:0000250|UniProtKB:Q99653}. Note=Localizes in cytoplasmic compartments in dividing cells. Localizes in the nucleus in quiescent cells. Exported from the nucleus to the cytoplasm through a nuclear export signal (NES) and CRM1-dependent pathway. May shuttle between nucleus and cytoplasm. Localizes with the microtubule-organizing center (MTOC) and extends toward the periphery along microtubules. Associates with membranes of the early secretory pathway in a GAPDH-independent, N-myristoylation- and calcium-dependent manner. Colocalizes with the mitotic spindle microtubules. Colocalizes with GAPDH along microtubules. Colocalizes with SLC9A1 at the reticulum endoplasmic and plasma membrane. Colocalizes with STK17B at the plasma membrane. {ECO:0000269|PubMed:14657246, ECO:0000269|PubMed:15312048, ECO:0000269|PubMed:20720019, ECO:0000269|PubMed:21543739}."	NA	NA	NA
"Q64581"	0	"Cyp3a18"	""	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein."	NA	NA	NA
"Q64537"	0	"Capns1 Capn4 Css1"	""	"SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Note=Translocates to the plasma membrane upon calcium binding (By similarity). Allows the formation of the homodimer and also appears to mediate the contact between the large catalytic subunit and small regulatory subunit for the formation of the heterodimer. {ECO:0000250}."	NA	NA	NA
"Q5PQL2"	0	"Cnot9 Rcd1 Rqcd1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9JKY0}. Cytoplasm, P-body {ECO:0000250|UniProtKB:Q9JKY0}. Note=NANOS2 promotes its localization to P-body. {ECO:0000250|UniProtKB:Q9JKY0}."	NA	NA	NA
"P08081"	0	"Clta"	""	"SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P09496}. Note=Cytoplasmic face of coated pits and vesicles. In complex with TACC3 and CKAP5 (forming the TACC3/ch-TOG/clathrin complex) localized to inter-microtubule bridges in mitotic spindles. {ECO:0000250|UniProtKB:P09496}."	NA	NA	NA
"Q4QQT6"	0	"Brix1 Brix Bxdc2"	""	"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}."	NA	NA	NA
"Q5BJT7"	0	"Ccdc93"	""	"SUBCELLULAR LOCATION: Early endosome {ECO:0000250|UniProtKB:Q567U6}."	NA	NA	NA
"Q63053"	0	"Arc"	""	"SUBCELLULAR LOCATION: Extracellular vesicle membrane {ECO:0000269|PubMed:29328916}; Lipid-anchor {ECO:0000250|UniProtKB:Q9WV31}. Cell junction, synapse, Postsynapse, postsynaptic cell membrane {ECO:0000250|UniProtKB:Q9WV31}; Lipid-anchor {ECO:0000250|UniProtKB:Q9WV31}. Cell junction, synapse {ECO:0000269|PubMed:17088211, ECO:0000269|PubMed:22579289}. Cell junction, synapse, Postsynapse, postsynaptic density {ECO:0000269|PubMed:17088211}. Early endosome membrane {ECO:0000269|PubMed:17088211}. Cell projection, Neuron projection, dendrite {ECO:0000269|PubMed:7857651, ECO:0000269|PubMed:9808461}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:7857651}. Cytoplasm, cell cortex {ECO:0000269|PubMed:7857651}. Cell projection, Neuron projection, dendritic spine {ECO:0000269|PubMed:17088211}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q9WV31}. Note=Forms virion-like extracellular vesicles that are released from neurons (PubMed:29328916). Enriched in postsynaptic density of dendritic spines (PubMed:17088211). Targeted to inactive synapses following interaction with CAMK2B in the kinase inactive state (PubMed:22579289). Accumulation at weaker synapses may be required to prevent their undesired enhancement (PubMed:22579289). Associated with the cell cortex of neuronal soma and dendrites (PubMed:7857651). Associated with the sperm tail (By similarity). {ECO:0000250|UniProtKB:Q9WV31, ECO:0000269|PubMed:17088211, ECO:0000269|PubMed:22579289, ECO:0000269|PubMed:29328916, ECO:0000269|PubMed:7777577, ECO:0000269|PubMed:7857651}."	NA	NA	NA
"Q810D1"	0	"Chp2"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12576672}. Nucleus {ECO:0000269|PubMed:12576672}. Cell membrane {ECO:0000269|PubMed:12576672}. Note=Exported from the nucleus to the cytoplasm through a nuclear export signal (NES) pathway. May shuttle between nucleus and cytoplasm (By similarity). Predominantly localized in a juxtanuclear region. Colocalizes with SLC9A3 in the juxtanuclear region and at the plasma membrane. {ECO:0000250}."	NA	NA	NA
"P54287"	0	"Cacnb3 Cacnlb3"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:10666413}."	NA	NA	NA
"O70248"	0	"Apba3 Mint3"	""	"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}."	NA	NA	NA
"Q9JIK1"	2	"Cdhr5 Mucdhl Mupcdh"	"TRANSMEM 672 692 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q9HBB8}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9HBB8}. Cell projection, microvillus membrane {ECO:0000250|UniProtKB:Q9HBB8}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9HBB8}."	NA	NA	NA
"Q9R0Z7"	0	"Aagab P34"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}."	NA	NA	NA
"P46933"	0	"Apbb1 Fe65"	""	"SUBCELLULAR LOCATION: Cell membrane. Cytoplasm. Nucleus. Cell projection, Neuron projection, growth cone. Nucleus speckle {ECO:0000250}. Note=In normal conditions, it mainly localizes to the cytoplasm, while a small fraction is tethered to the cell membrane via its interaction with APP. Following exposure to DNA damaging agents, it is released from cell membrane and translocates to the nucleus. Nuclear translocation is under the regulation of APP. Colocalizes with TSHZ3 in axonal growth cone. Colocalizes with NEK6 at the nuclear speckles (By similarity). Phosphorylation at Ser-611 by SGK1 promotes its localization to the nucleus. {ECO:0000250}."	NA	NA	NA
"O70127"	3	"Abcb11 Bsep Spgp"	"TRANSMEM 63 83 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 148 168 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 216 236 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 241 261 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 320 340 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 354 374 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 756 776 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 795 815 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 870 890 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 891 911 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 980 1000 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 1012 1032 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}."	"SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein."	NA	NA	NA
"D4ABH7"	0	"Bcdin3d"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7Z5W3}."	NA	NA	NA
"Q63692"	0	"Cdc37"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q16543}."	NA	NA	NA
"P37200"	0	"Ear"	""	""	NA	NA	NA
"Q91XT5"	0	"Bco1 Bcdo Bcdo1 Bcmo1"	""	""	NA	NA	NA
"O70210"	0	"Chad"	""	"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}."	NA	NA	NA
"O88181"	0	"Barhl2 Mbh1"	""	"SUBCELLULAR LOCATION: Nucleus."	NA	NA	NA
"Q32PX9"	0	"Afg1l Lace1"	""	"SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250|UniProtKB:Q8WV93}."	NA	NA	NA
"Q5M9H0"	0	"Anks3"	""	"SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250|UniProtKB:Q9CZK6}. Cytoplasm {ECO:0000250|UniProtKB:Q9CZK6}."	NA	NA	NA
"Q9WUQ1"	0	"Adamts1"	""	"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}."	NA	NA	NA
"Q6AYE8"	0	"Artn"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"P55926"	2	"Asic1 Accn2 Bnac2"	"TRANSMEM 46 69 Helical. {ECO:0000250}.; TRANSMEM 426 452 Discontinuously helical. {ECO:0000250}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11842212, ECO:0000269|PubMed:9062189, ECO:0000269|PubMed:9707631}; Multi-pass membrane protein {ECO:0000269|PubMed:11842212, ECO:0000269|PubMed:9062189, ECO:0000269|PubMed:9707631}. Note=Localizes in synaptosomes at dendritic synapses of neurons. Colocalizes with DLG4 (By similarity). {ECO:0000250}."	NA	NA	NA
"Q5FVC2"	0	"Arhgef2"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Cytoplasm {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Golgi apparatus {ECO:0000250|UniProtKB:Q92974}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q865S3, ECO:0000250|UniProtKB:Q92974}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q92974}. Note=Localizes to the tips of cortical microtubules of the mitotic spindle during cell division, and is further released upon microtubule depolymerization. Colocalized with NOD2 and RIPK2 in vesicles and with the cytoskeleton. {ECO:0000250|UniProtKB:Q92974}."	NA	NA	NA
"P70584"	0	"Acadsb"	""	"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:6874697}."	NA	NA	NA
"Q75NT5"	0	"Ahrr"	""	"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Predominantly in the nuclear compartment. First cytoplasmic, translocates into the nuclear compartment upon interaction with ARNT in the cytoplasmic compartment (By similarity). {ECO:0000250}."	NA	NA	NA
"Q7TPB4"	4	"Cd276 B7h3"	"TRANSMEM 249 269 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	" CD276"	NA	NA
"Q3KR97"	0	"Baiap2l1"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Note=Recruited to actin pedestals that are formed upon infection by bacteria at bacterial attachment sites. {ECO:0000250}."	NA	NA	NA
"Q924N5"	0	"Acsbg1 Grlacs"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11381125}. Cytoplasmic vesicle {ECO:0000250}. Microsome {ECO:0000250}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q96GR2}. Cell membrane {ECO:0000250|UniProtKB:Q96GR2}."	NA	NA	NA
"O08838"	0	"Amph Amph1"	""	"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}."	NA	NA	NA
"Q66HF0"	0	"Armcx6"	"TRANSMEM 8 25 Helical; Signal-anchor. {ECO:0000255}."	"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q8K3A6}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8BHS6}; Single-pass membrane protein {ECO:0000255}."	NA	NA	NA
"Q66H85"	0	"Ankzf1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9H8Y5}. Note=Translocates to the mitochondria upon exposure to hydrogen peroxide. {ECO:0000250|UniProtKB:Q9H8Y5}."	NA	NA	NA
"Q811A2"	0	"Bst2 Damp1"	"TRANSMEM 27 47 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}."	"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network. Cell membrane; Single-pass type II membrane protein. Cell membrane; Lipid-anchor, GPI-anchor. Late endosome {ECO:0000250}. Membrane raft. Cytoplasm {ECO:0000250}. Apical cell membrane. Note=Shuttles between the cell membrane, where it is present predominantly in membrane/lipid rafts, and the trans-Golgi network. Forms a complex with MMP14 and localizes to the cytoplasm (By similarity). {ECO:0000250}."	" CD317"	NA	NA
"P85970"	0	"Arpc2"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19343716}. Cell projection {ECO:0000250|UniProtKB:O15144}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q9CVB6}. Nucleus {ECO:0000250|UniProtKB:O15144}."	NA	NA	NA
"Q5RJP0"	0	"Akr1b7 Akr1b14"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"P07150"	1	"Anxa1 Anx1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12467520}. Cytoplasm {ECO:0000269|PubMed:12467520}. Cell projection, cilium {ECO:0000250|UniProtKB:P10107}. Basolateral cell membrane {ECO:0000250|UniProtKB:P51662}. Lateral cell membrane {ECO:0000250|UniProtKB:P10107}. Cell membrane {ECO:0000250|UniProtKB:P10107}; Peripheral membrane protein {ECO:0000250|UniProtKB:P10107}. Apical cell membrane {ECO:0000250|UniProtKB:P10107}. Membrane {ECO:0000269|PubMed:3020049}; Peripheral membrane protein {ECO:0000269|PubMed:3020049}. Endosome membrane {ECO:0000269|PubMed:3020049}; Peripheral membrane protein {ECO:0000269|PubMed:3020049}. Secreted {ECO:0000250|UniProtKB:P10107}. Secreted, extracellular space {ECO:0000250|UniProtKB:P04083}. Cell membrane {ECO:0000250|UniProtKB:P04083}; Peripheral membrane protein {ECO:0000250|UniProtKB:P04083}; Extracellular side {ECO:0000250|UniProtKB:P04083}. Early endosome {ECO:0000250|UniProtKB:P19619}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P19619}; Peripheral membrane protein {ECO:0000250|UniProtKB:P19619}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:P10107}. Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000250|UniProtKB:P10107}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:P10107}. Note=Colocalizes with actin fibers at phagocytic cups. Secreted, at least in part via exosomes and other secretory vesicles. Detected in exosomes and other extracellular vesicles. Secretion is increased in response to wounding and inflammation (By similarity). Detected in gelatinase granules in resting neutrophils. Neutrophil adhesion to endothelial cells stimulates secretion via gelatinase granules, but foreign particle phagocytosis has no effect. Displays calcium-dependent binding to phospholipid membranes (PubMed:3020049). {ECO:0000250|UniProtKB:P04083, ECO:0000250|UniProtKB:P10107, ECO:0000269|PubMed:3020049}."	NA	NA	NA
"Q5BK84"	0	"Adam5 Tmdc2"	"TRANSMEM 650 670 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}."	NA	NA	NA
"A2RUV9"	0	"Aebp1 Aclp"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q640N1}."	NA	NA	NA
"F1LRS8"	0	"Cd2ap"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9Y5K6}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q9Y5K6}. Cell junction {ECO:0000250|UniProtKB:Q9Y5K6}. Note=Colocalizes with F-actin and BCAR1/p130Cas in membrane ruffles (By similarity). Located at podocyte slit diaphragm between podocyte foot processes (By similarity). During late anaphase and telophase, concentrates in the vicinity of the midzone microtubules and in the midbody in late telophase (By similarity). {ECO:0000250|UniProtKB:Q9JLQ0, ECO:0000250|UniProtKB:Q9Y5K6}."	NA	NA	NA
"P55213"	0	"Casp3 Cpp32"	""	"SUBCELLULAR LOCATION: Cytoplasm."	NA	NA	NA
"P10980"	0	"Chrm2 Chrm-2"	"TRANSMEM 23 45 Helical; Name=1. {ECO:0000250}.; TRANSMEM 60 80 Helical; Name=2. {ECO:0000250}.; TRANSMEM 98 119 Helical; Name=3. {ECO:0000250}.; TRANSMEM 140 162 Helical; Name=4. {ECO:0000250}.; TRANSMEM 185 209 Helical; Name=5. {ECO:0000250}.; TRANSMEM 388 410 Helical; Name=6. {ECO:0000250}.; TRANSMEM 419 442 Helical; Name=7. {ECO:0000250}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell junction, synapse, Postsynapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Phosphorylation in response to agonist binding promotes receptor internalization. {ECO:0000250}."	NA	NA	NA
"P18090"	3	"Adrb1 Adrb1r"	"TRANSMEM 56 84 Helical; Name=1. {ECO:0000250}.; TRANSMEM 94 120 Helical; Name=2. {ECO:0000250}.; TRANSMEM 133 154 Helical; Name=3. {ECO:0000250}.; TRANSMEM 173 196 Helical; Name=4. {ECO:0000250}.; TRANSMEM 223 248 Helical; Name=5. {ECO:0000250}.; TRANSMEM 309 338 Helical; Name=6. {ECO:0000250}.; TRANSMEM 344 366 Helical; Name=7. {ECO:0000250}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12391161}; Multi-pass membrane protein {ECO:0000269|PubMed:12391161}. Early endosome {ECO:0000250}. Note=Localized at the plasma membrane. Found in the Golgi upon GOPC overexpression (By similarity). Colocalizes with RAPGEF2 at the plasma membrane. {ECO:0000250}."	NA	NA	NA
"P97536"	0	"Cand1 Tip120 Tip120a"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q86VP6}. Nucleus {ECO:0000250|UniProtKB:Q86VP6}. Note=Predominantly cytoplasmic. {ECO:0000250|UniProtKB:Q86VP6}."	NA	NA	NA
"Q6PDU5"	0	"Bex3 Nade Ngfrap1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000269|PubMed:15958283}. Note=Shuttles between the cytoplasm and the nucleus. Associates with replicating mitochondria (By similarity). {ECO:0000250}."	NA	NA	NA
"Q3MKP9"	0	"Bex4"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9NWD9}. Nucleus {ECO:0000269|PubMed:15958283}. Cytoplasm {ECO:0000269|PubMed:15958283}. Note=Also localizes to microtubules. {ECO:0000250|UniProtKB:Q9NWD9}."	NA	NA	NA
"Q9EQR2"	0	"Agps Ads"	""	"SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000250|UniProtKB:P97275}. Peroxisome {ECO:0000269|PubMed:2340111}."	NA	NA	NA
"Q66H39"	0	"Abcf3"	""	""	NA	NA	NA
"P47864"	4	"Aqp5"	"TRANSMEM 13 33 Helical. {ECO:0000250|UniProtKB:P55064}.; TRANSMEM 40 60 Helical. {ECO:0000250|UniProtKB:P55064}.; TRANSMEM 88 108 Helical. {ECO:0000250|UniProtKB:P55064}.; TRANSMEM 127 147 Helical. {ECO:0000250|UniProtKB:P55064}.; TRANSMEM 159 179 Helical. {ECO:0000250|UniProtKB:P55064}.; TRANSMEM 204 224 Helical. {ECO:0000250|UniProtKB:P55064}."	"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q9WTY4}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P55064}. Cell membrane {ECO:0000269|PubMed:7530250}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P55064}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P55064}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P55064}. Note=Hypotonicity increases location at the cell membrane. Phosphorylation decreases location at the cell membrane. {ECO:0000250|UniProtKB:P55064}."	NA	NA	NA
"Q5U2T8"	0	"Cir1 Cir"	""	"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Colocalizes with NEK6 in the centrosome. {ECO:0000250}."	NA	NA	NA
"Q5FVK6"	0	"Cc2d1b"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}."	NA	NA	NA
"P10354"	0	"Chga"	""	"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle lumen. Cytoplasmic vesicle, secretory vesicle membrane. Secreted. Note=Associated with the secretory granule membrane through direct interaction to SCG3 that in turn binds to cholesterol-enriched lipid rafts in intragranular conditions. In pituitary gonadotropes, located in large secretory granules.; SUBCELLULAR LOCATION: Serpinin: Secreted {ECO:0000250|UniProtKB:P26339}. Cytoplasmic vesicle, secretory vesicle {ECO:0000250|UniProtKB:P26339}. Note=Pyroglutaminated serpinin localizes to secretory vesicle. {ECO:0000250|UniProtKB:P26339}."	NA	NA	NA
