Accession,GeneName
D3ZDX9,Mcidas
Q5U2U7,Rnmt
Q5HZE0,Slc25a29
P09650,Mcpt1
P97592,Mcpt4
Q7TQ94,Nit1
P13444,Mat1a
Q6AXU8,Mettl6
B2RYH9,Mfsd14b
Q5XII9,Mtfr1l
Q02527,Mgat3
Q66H23,Slc25a37
Q9Z2G8,Nap1l1
Q5U2Z3,Nap1l4
P08011,Mgst1
Q9EP86,Npffr1
Q9EQD2,Npffr2
P32244,Mc3r
P97639,Mchr1
Q5XIN1,Mdm4
Q08201,Abcb4
Q62889,Nlgn3
P12760,Nmu
Q62649,Nnat
Q5PQS3,Veph1
Q4QQR9,Memo1
P41777,Nolc1
Q562C4,Mettl7b
Q62600,Nos3
Q6AYF7,Mfap3
A7E3N7,Noxa1
Q5PPG6,Nap1l5
Q5M854,Mgat4a
Q4V8F8,Mgat4d
Q5SGE0,Lrpprc
P12527,Alox5
Q569C2,Lrp2bp
C0HJX3,Lilrb3b
P98158,Lrp2
Q9QYP1,Lrp4
P97756,Camkk1
Q5PQM2,Klc4
Q5XIA9,Klhdc8b
Q9WV57,Mpeg1
Q5DT39,Klri1
Q63378,Klrb1f
Q80ZC8,Klre1
O88867,Kmo
Q4KLM4,Klhl25
Q64649,Phka1
Q63468,Prpsap1
P05696,Prkca
Q9WTQ1,Prkd1
B1WBP0,Mpped2
B1WC86,Mppe1
A4KWA1,Klrb1b
Q5NKN4,Klrb1b
Q64725,Syk
Q5I0L7,Kti12
Q05695,L1cam
Q78E65,Jdp2
Q3SWS9,Jakmip1
O88823,Jtb
Q6AXU6,JPT1
Q00566,Mecp2
Q6IG00,Krt4
Q4FZU2,Krt6a
Q6IG04,Krt72
Q6IG12,Krt7
Q4V7A9,Kiaa0895l
P12369,Prkar2b
Q5XIK7,Katnal1
Q5XI62,Ment
Q64230,Mep1a
P28826,Mep1b
Q4QR85,Wdr77
Q9ES02,Mepe
Q6P5P5,Mest
Q4KM84,Mettl18
Q5RJL2,Mettl23
Q5BK01,Mettl24
P21213,Hal
F1M5F3,Mcm9
D4ABL6,Mctp1
Q4G009,Mcts1
Q568Z6,Ist1
Q63258,Itga7
Q63416,Itih3
Q62655,Tcf4
P85171,Mdga1
P29994,Itpr1
Q63269,Itpr3
Q9WVE9,Itsn1
Q5BK17,Iyd
Q9JHY1,F11r
G3V9M2,Mapk8ip2
E9PSK7,Mapk8ip3
Q2PS20,Jph2
P24898,Junb
P52909,Jund
Q5FVH7,Mea1
Q9JIA3,Nfkbib
P97636,Il18
P29456,Il10
Q4V7D3,Maco1
P27791,Prkaca
Q58FK9,Kyat3
Q5TKR9,Kat6a
P39020,Meox2
Q5U2R7,Mesd
P31246,Hoxa2
Q5RKJ1,Maea
Q5XIH0,Maf1
P54842,Mafb
Q76MX4,Mafg
P54844,Maf
Q6AY37,Mageb16
E9PU28,Impdh2
B1H268,Mcmbp
Q9R237,Mapk8ip1
Q62689,Jak2
Q6AY70,Kansl2
P12368,Prkar2a
Q99MK2,Kat5
Q5XI06,Kat8
Q497B8,Kdm8
P22199,Nr3c2
Q3KR73,Kansl3
P68182,Prkacb
Q810T5,Kat7
O88954,Mpp3
P09216,Prkce
Q5U2Y3,Mpp7
Q5BK54,Lag3
P14562,Lamp1
P17046,Lamp2
Q5XI99,Lamp3
P38656,Ssb
Q5XIN6,Letm1
Q5PQQ5,Letm2
Q4TU93,Mrc2
Q6Y306,Abcc12
B5DF07,Mrpp3
P04355,Mt2
Q924T4,Lfng
O70513,Lgals3bp
P11980,Pkm
P12928,Pklr
Q6TA48,Mptx1
Q5BK62,Mpv17
Q6AYT8,Mpzl1
Q5NKN2,Klrb1b
Q5PPL1,Krcc1
B2RZC9,Krtcap2
P85411,Krtdap
Q5M853,Kxd1
P00714,Lalba
P15800,Lamb2
Q6P7A1,Large2
Q63016,Slc7a5
Q6P501,Laptm4a
O08984,Lbr
Q0PGW2,Lchn
Q01621,Lck
Q91V33,Khdrbs1
Q2PQA9,Kif5b
O88831,Camkk2
P63031,Mpc1
Q8K430,Klhl17
P36375,Klk10
D4A2K4,Klhl21
Q6E0V2,Katna1
Q5FVL7,Dnaaf2
B0BMY1,Pqlc2
Q561R9,Lactb2
Q5FVQ5,Lax1
Q5PPI4,Lamp5
P38552,Lgals4
P35952,Ldlr
Q9Z2H4,Lgr4
Q62909,Kif2c
F8WLE0,Kif28p
P0C1X9,Lair1
Q9QX69,Lancl1
Q66H35,Las2
P18424,Lcat
Q99MZ8,Lasp1
B3EY83,Lcn12
Q7TN39,Mrgprg
Q7TN38,Mrgprh
Q09326,Mgat2
Q4V8E5,Mfsd3
Q8CJH6,Npas4
Q8K4P2,Npb
Q499S5,Mmp11
Q5M9I6,Mmtag2
Q80Z34,Nrep
P43322,Nrg1
Q9QWJ9,Nrp1
O35276,Nrp2
Q91Y77,Slc16a10
Q62862,Map2k5
P05506,Mtnd3
Q501L3,Msantd4
O35763,Msn
Q63344,Slc16a7
Q01986,Map2k1
Q8CG09,Abcc1
B2RZC4,Mis18a
P54275,Msh2
Q5RJS6,Mospd1
Q52KJ8,Msrb1
Q08326,Rabif
Q5XHX9,Tesmin
Q5FVM6,Mtmr12
P62775,Mtpn
P49218,Mtnr1a
O08658,Nup88
Q80XX4,Mustn1
Q66HC5,Nup93
Q6AY59,Mocs2
P69209,
P53987,Slc16a1
O88941,Mogs
P97580,Msmb
P15146,Map2
P02761,
Q5PPL3,Nsdhl
Q499U6,Nsmce1
Q4V8A0,Nsmce2
O35987,Nsfl1c
Q9QUL6,Nsf
P02683,Nsg1
Q3KR51,Nsg2
Q9ET64,Smpd2
Q9EPI6,Nsmf
Q4FZU3,Nsrp1
P85118,Nat8f2
Q8CGL2,Lat2
Q5PT50,Slc10a7
D3ZVR1,Mettl11b
Q3T1J9,Mob1a
A2RUW0,Mroh7
O88269,Abcc6
Q8K3P4,Msi1
Q4FZX5,Msrb2
P02803,Mt1
Q6AXQ4,Mtm1
P42346,Mtor
P49287,Mtnr1b
Q6AY82,Emcn
Q6MG22,Mucl3
Q9QX82,Cd164
P85844,
Q5BJS9,Morn4
O70461,Slc16a8
O35910,Slc16a3
Q8K1P8,SLC16A2
P36506,Map2k2
P13832,Rlc-a
Q9ET09,Mrs2
Q6P6Q6,Mterf3
Q497C3,Mettl26
Q5PQT2,Mtmr3
Q498R1,Mtrr
Q62953,Gpr50
Q6IMY1,Mtus1
Q9EPF2,Mcam
P98089,
Q6IE52,Mug2
P00539,Mos
Q63120,Abcc2
Q9QYM0,Abcc5
B0K035,Mtfr2
Q5HZE4,Mri1
Q63327,Mobp
Q66HE2,Slc16a13
Q6MG62,Msh5
O35532,Msmo1
P37361,Mt3
Q62599,Mta1
D3ZUA0,Mthfd2l
Q641Z1,Lin54
B5DEH0,Limd1
P54316,Pnliprp1
Q99MB5,Lmo3
O88202,Aspg
Q5XI07,Lpp
Q460M5,Lrfn2
Q6P7C4,Lrrc26
D4ABX8,Lrfn4
A0A0G2KBC9,Lilrb3l
Q5M9H1,Lrrc41
Q5FVI3,Lrrc57
D4A7P2,Lrrtm2
Q5RJR8,Lrrc59
Q9JMH2,Lrit1
P01230,Lhb
Q5BJT6,Lsg1
Q9ESY6,Lrrn3
Q63722,Jag1
Q6AYK2,Jmjd6
Q6AY40,Jmjd8
Q5BJY4,Josd1
Q69FB3,Jph4
P17325,Jun
Q5BK20,Jpt2
Q9Z311,Mecr
Q6IG03,Krt73
Q6IG05,Krt75
Q10758,Krt8
A0JPN6,Med22
Q5EB59,Med23
Q4V8B3,Med24
P68943,Med28
Q561Q8,Med4
Q2MJT0,Mef2a
A0A096MJY4,Mef2c
O89038,Mef2d
Q9JJ25,Mefv
O88281,Megf6
Q9QYP0,Megf8
P97924,Kalrn
Q64298,Smcp
P49134,Itgb1
D3Z8D9,Mad2l2
Q64632,Itgb4
Q6AYF4,Itgb6
Q5U2M8,Mdc1
Q5PQL7,Itm2c
Q5XIE8,Itm2b
P60756,Mdga2
P12007,Ivd
Q6AY06,Izumo1
P97607,Jag2
Q4KM64,Jagn1
Q68FQ2,Jam3
Q63272,Jak3
Q9R103,Il12a
Q4G075,Serpinb1a
P26896,Il2rb
O70540,Madcam1
Q4FZV0,Manba
Q62751,Ireb2
P41243,Matk
P43244,Matr3
F2Z3T4,Mbnl2
Q3T1J2,Mboat2
B1Q005,Mboat4
Q5FVN0,Lpcat3
D3ZVK1,Mcm8
P57790,Keap1
P83556,Kir3dl1
Q7TSB7,Kiss1
F1M5N7,Kif21b
Q9Z2Y0,Keg1
Q68G30,Klc3
Q3KRE6,Klhdc2
Q6JEL3,Klhl10
Q9ET58,Klf2
P00759,Klk2
O35819,Klf6
Q9Z2Y9,Kl
Q01713,Klf9
Q56A24,Klhl24
P0C2N5,Kmt5b
F1M7Y5,Prkci
P09217,Prkcz
Q5XIS9,Prkd2
P09215,Prkcd
Q9QYH1,Mpp4
Q6AY20,M6pr
Q9ERE6,Mprip
Q924S4,Kremen1
Q5EAJ6,Ikbip
P22273,Il6r
Q9QY78,Ikbkb
Q63264,Il1b
P97604,Il15
Q02955,Il1r1
Q62611,Il1rl1
Q4KM46,Il34
Q99J82,Ilk
Q6P6Q2,Krt5
Q6IMF1,Krt80
D3ZD05,Kank2
P09456,Prkar1a
P81377,Prkar1b
Q08415,Kyat1
P51514,Tcf12
P38062,Metap2
Q5M7W5,Map4
Q63560,Map6
Q66H84,Mapkapk3
Q3B8Q0,Mapre2
Q5XIT1,Mapre3
Q8VIG2,Marf1
Q5I0I2,2-Mar
Q5XIE5,3-Mar
Q5XI50,7-Mar
Q5XIV2,10-Mar
A6P320,11-Mar
O08678,Mark1
O08679,Mark2
Q8VHF0,Mark3
Q8CHN8,Masp1
Q9JJS8,Masp2
Q810W7,Mast1
Q9Z0M4,Cd46
P10758,Reg1
Q8R2H1,Nfkbil1
Q6AYF9,Irgc
D3ZHV2,Macf1
O08873,Madd
B2RZ87,Myadml2
D3ZNT6,Mafa
D3ZLZ7,Impdh1
Q5GF25,Manea
P0C5H9,Manf
P13697,Me1
D3ZAP3,Map10
P34926,Map1a
P15205,Map1b
P0C5W1,Map1s
P18863,Hoxb8
Q8CFC9,Lzts1
A3QPB9,Il21
Q61453,Il17a
P43303,Il1r2
Q62929,Il1rl2
Q6AY88,Kdf1
Q9WV63,Kif2a
Q66HD2,Klhl36
Q5BK60,Klhl38
Q5XHZ6,Klhl7
Q6AYB3,Isy1
P18614,Itga1
Q9QYE7,Itgad
Q5PQQ8,Itgbl1
D3ZW55,Itpa
P29995,Itpr2
O88989,Mdh1
P04636,Mdh2
Q3SWT4,Iws1
O55165,Kif3c
Q6AYI2,Klhdc3
D3Z8N4,Klhl20
P36376,Klk12
P15950,Klk3
P36373,Klk7
O88780,Klk8
Q64335,Klrg1
Q0ZUP0,Klrb1
O35778,Klrd1
P0C2N6,Kmt5c
P48965,Cdc25a
P08934,Kng1
P48966,Cdc25b
P01048,Map1
P08932,
Q68FX1,Mpi
P63319,Prkcg
Q64617,Prkch
Q9WTQ0,Prkcq
P68403,Prkcb
Q7TQM5,Kprp
D3ZAA9,Mpp2
G3V8T1,Mphosph8
P20069,Pmpca
Q03346,Pmpcb
P04634,Lipf
Q8VBX1,Lipg
A1L1J9,Lmf2
Q3MIF2,L3mbtl2
P70615,Lmnb1
Q02401,Lct
Q6P7D5,Mid1ip1
P97700,Slc25a11
Q66HA1,Map3k11
B2GUY0,Man1b1
P21139,Man2c1
Q63562,Map3k8
P19804,Nme2
Q64349,Mal
O88994,2-Mar
Q66HR2,Mapre1
O35777,Magt1
P59895,Nek6
D3ZBE5,Nek7
D3ZGQ5,Nek8
Q62919,Nell1
Q62902,Lman1
C0HJX2,Lilrb3a
Q66HD6,Lrrc18
D4A6D8,Lrrtm1
P59035,Lrrc3
Q924I2,Map4k3
Q63406,Mcf2l
Q62724,Mcm6
Q5PQN4,Mdm1
O35762,Nkx6-1
Q9JJI5,Nmur1
Q66H99,Nol10
Q5D1Z3,Nol12
Q62881,Nol3
Q63648,Nf2
Q5FVM4,Nono
Q1RP77,Nop16
P29476,Nos1
Q06518,Nos2
Q6AZ61,Lmbrd1
P30349,Lta4h
A1A5Q0,Lmod2
Q924S5,Lonp1
F1LQ70,Alox12
P16235,Lhcgr
Q62925,Map3k1
A1A5P9,Magee1
Q5PPP4,Mageh1
Q4L1J4,Magi1
P20793,Mak
P02688,Mbp
P01186,Avp
P97521,Slc25a20
P43245,Abcb1
Q62765,Nlgn1
Q62888,Nlgn2
D3ZSZ3,Nlk
F1M649,Nlrc4
D4A523,Nlrp3
Q63035,Nlrp6
Q5FVQ8,Nlrx1
Q9ESQ4,Nmur2
B0BMX9,Meiob
Q9WVR8,Men1
P63004,Pafah1b1
A0A0G2K0D3,Lmod1
Q6QI44,Naa25
P30009,Marcks
O35821,Mybbp1a
Q6P777,Mvb12a
P07861,Mme
P21263,Nes
P08661,Mbl2
Q6AYD1,Mblac1
D3ZT86,Ntn5
C6K2K4,Neto2
G3V801,Prss12
Q4KM95,Lrrc42
Q4V8D9,Lrrc34
Q5U308,Lrrc8d
Q9JI61,Lrat
Q499M7,Lrif1
Q4KLL3,Lrrc55
Q6AYL8,Lrriq3
P70587,Lrrc7
Q66HF9,Lrrfip1
Q9QXL7,Nme7
Q63796,Map3k12
Q05982,Nme1
P57113,Gstz1
P0C8E4,Map3k7
Q5U2R0,Mat2b
Q66HG9,Mavs
P35345,Mc5r
P61794,Lpar1
Q02759,Alox15
D3ZKX9,Aloxe3
B5DF27,Loxl2
Q3MHC1,Naa60
Q4V8G0,Lrrc63
Q6TXF5,Lrrc66
Q587K4,Lrrc73
Q5BK65,Nrros
Q63342,Dmgdh
P28494,Man2a1
Q6AY04,Maip1
Q6AYM7,Majin
P0DN35,Ndufb1
Q9ES73,Maged1
A0JPI9,Lrrc74a
Q6AXZ2,Lrrc46
B0BNK7,Lrfn3
Q566R4,Fam89b
D3ZG83,Map3k10
O88426,Nme6
O08776,Ndufaf3
P07722,Mag
P01179,Oxt
P29188,
D3ZGX1,Nexmif
Q497B0,Nit2
P0CC10,Lrrc4b
Q4V8I7,Lrrc8a
Q498T9,Lrrc8c
D3ZXS4,Lrrc39
Q569B5,Lrrc14
Q8R5M3,Lrrc15
P0C7J6,Lrfn1
Q4V8C9,Lrrc56
B4F7C5,Lrrtm4
Q45R42,Lrrc4
O88204,Lrp3
Q66HD3,Nasp
Q5M836,Lysmd3
D3ZVU9,Nat8l
Q9QXT3,Nat8
Q5EB81,Cyb5r1
Q6AY12,Cyb5r2
Q501R9,Nbr1
A0JPP1,Drap1
Q5XI68,Dr1
Q5PQN0,Ncald
P13596,Ncam1
P55067,Ncan
Q80W90,Lhx9
D3ZVM4,Trim71
Q66H65,N4bp2l2
Q9Z1P3,Mcl1
P14200,Pmch
O54968,Nfe2l2
Q8K5B3,Mcfd2
P00770,Mcpt2
P97594,Mcpt8
P17777,Lif
Q9Z252,Lin7b
Q4KM31,Limd2
Q5XIH4,Lias
Q91Z79,Ppfia3
Q5FB95,Lman1l
Q06000,Lpl
D3ZWK4,L3mbtl1
Q3MIB4,Lonp2
Q6DKG0,Naa35
P97840,Lgals9
Q641X2,Leo1
P08699,Lgals3
P47967,Lgals5
P97590,Lgals7
Q62959,Lepr
Q7TT49,Cdc42bpb
P63007,Lhx1
P27657,Pnlip
O35787,Kif1c
P17256,Mvk
Q5XI51,Kif2b
P04642,Ldha
P42123,Ldhb
Q7TN45,Mrgprb4
Q7TN44,Mrgprb5
Q7TN50,Mrgprb8
Q7TN49,Mrgpra
Q7TN41,Mrgprd
Q7TN40,Mrgpre
P23749,Mrgprf
Q6P6R0,Grina
Q64194,Lipa
Q9Z250,Lin7a
P61376,Lhx5
F1LR10,Lima1
Q91Z80,Ppfia4
Q920F3,Khdrbs2
O08618,Prpsap2
P20767,
P97629,Lnpep
Q9WVB7,Lenep
O54874,Cdc42bpa
Q02974,Khk
Q9WVR6,Slc7a8
Q9Z144,Lgals2
P07867,Lipc
P54825,Lim2
Q6PDU4,Leprotl1
Q9JIM0,Mre11
Q8R4G1,Mrgprx1
Q9EPH2,Marcksl1
P13838,Spn
O70535,Lifr
D3ZVV1,Khdc3
Q64595,Prkg2
O88658,Kif1b
P56536,Kif5c
Q924U1,Kiss1r
Q5XI63,Kifc1
P20766,
Q62733,Tmpo
Q5U1W4,Laptm4b
Q5U2Y9,Lca5
Q5XI01,Larp7
P06911,Lcn5
Q5HZX7,Ldah
P19629,Ldhc
P11762,Lgals1
Q62665,Lgals8
P50596,Lep
Q9JLP1,Khdrbs3
Q5I0E8,Kif22
Q6QLM7,Kif5a
P27158,Tk1
Q6X936,Kirrel1
P37285,Klc1
Q8K4K5,Llgl1
O70601,Lat
Q63313,Lbp
Q1XID0,Lbx1
Q6P4Z6,Lcmt1
Q9QXN1,Lef1
Q7TSP2,Kif15
Q4KLL9,Kif18b
Q641X6,Morn1
B1H283,Lexm
O88407,Faim2
D4AC13,Lgr5
Q7M6Z5,Kif27
Q4KSH7,Map2k7
Q5U3Y0,Klhdc10
O08876,Klf10
F1LZ52,Klhl3
Q8R2H4,Klhl12
D3ZA50,Klhl15
P38718,Mpc2
Q9ER30,Klhl41
P16036,Slc25a3
P14272,Klkb1
P00758,Ngfg
F1LZF0,Klhl2
O55164,Mpdz
P36374,Klk6
P07647,Klk9
P27471,Klrb1a
Q5DT37,Klri2
Q5PQM9,Slc25a30
D3ZZC3,Klhl22
Q9R0J8,Lgmn
Q8K4Y5,Lgi1
Q7TT51,Lgsn
Q6P7Q4,Glo1
P53669,Limk1
P36198,Lhx2
P53670,Limk2
P54318,Pnliprp2
P15304,Lipe
P0C0T0,Litaf
Q3LUD3,N4bp3
B1WC37,Trmu
Q5XI20,Mturn
P97881,Muc13
Q62635,Muc2
Q63661,Muc4
Q03626,Mug1
O54842,Nupr1
Q62838,Musk
Q69CM7,Mycbpap
Q9JLT0,Myh10
P17209,Myl4
Q63345,Mog
D4A734,Slc16a12
Q5M820,Mrfap1
O88563,Abcc3
Q9ERA7,Msln
D3ZKV9,Mss51
G3V9A7,Mtfr1
Q4G078,Mterf4
P70581,Nup58
P17955,Nup62
Q4QQS8,Nup85
Q923M1,Msra
Q5XIE2,Mterf2
A0A0G2JXT6,Mtmr6
P20428,Myog
Q9QYF3,Myo5a
Q9QZ76,Mb
P18589,Mx2
P52953,Msx2
Q9EPI8,Mterf1
Q562C9,Adi1
Q4KM32,Mus81
Q62967,Mvd
Q5U318,Pea15
E9PT87,Mylk3
Q63355,Myo1c
Q63357,Myo1d
Q641W2,Myg1
Q9Z1N3,Myo9a
Q9WUJ3,Pde4dip
Q5EB94,Myzap
P09416,Myc
Q9R1J4,Myoc
P49793,Nup98
Q5XI43,Mxra8
P04462,Myh8
Q80Z29,Nampt
Q5M969,Nanp
Q62667,Mvp
P18588,Mx1
P34980,Ptger3
Q921A2,Slc2a13
Q64119,Myl6
P19335,Myf6
Q63379,Mycn
Q63518,Mybpc1
P56741,Mybpc3
Q63358,Myo9b
Q6VBQ5,Myadm
O88599,Mybph
P02564,Myh7
Q10728,Ppp1r12a
Q5I0M2,Qprt
P18590,Mx3
P23999,Mycs
P43114,Ptger4
P20689,Mylk2
Q9ERC1,Myo16
